doctype,docno,docdate,party_code,original_party_name,lpo_no,location,original_salesman,gross_amount,discount,net_amount,vat_amount,created_ts,created_by,invoice_mode,area,original_division,division,salesman,party_name
CSI20,1311,2024-01-03,ARC-A1849,AL AQEEL CARPENTRY,,Multicolor,RISHAD C,110.0,0.0,110.0,5.5,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0598399626
CSI10,1142,2024-01-03,ARC-U0014,UNICORN MEDICALS LLC,,Musaffah Shop,FAISAL,48.0,0.41,47.59,2.37,2024-01-03,NASSAR,CASH,Dubhai,HO,div_2006915470,man_1993412060,party_0949048111
CSI20,1312,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,NISHAD T,346.5,0.0,346.5,17.33,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1830493139,party_0984764295
CSI10,1143,2024-01-03,ARC-R0200,ROYAL GARDENS AGRICULTURAL CONTRACTING LLC,,Musaffah Shop,FAISAL,60.0,0.0,60.0,3.0,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_1993412060,party_0535613573
CSI20,1313,2024-01-03,ARC-G0284,GOLDEN GATE ALUMINIUM GLASS,,Multicolor,RISHAD C,60.0,0.0,60.0,3.0,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_1925394711
CSI10,1144,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,NASSAR,350.0,0.0,350.0,17.5,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_0832930093
CSI20,1314,2024-01-03,ARC-E1591,EMIRATES TECHNICAL & SAFETY DEVELOPMENT CENTRE L.L.C,,Multicolor,RINSHAD T K,270.0,0.0,270.0,13.5,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_2128340233,party_1104139473
CSI20,1315,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,NISHAD T,570.0,0.0,570.0,28.5,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1830493139,party_0984764295
CSI10,1145,2024-01-03,ARC-S1583,STEVE HARDWARE TRADING LLC,,Musaffah Shop,FAISAL,6322.5,0.63,6321.87,316.1,2024-01-03,NASSAR,CASH,ABU DHABI,HO,div_2006915470,man_1993412060,party_0548065530
CSI20,1316,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,RISHAD C,190.0,0.0,190.0,9.5,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0984764295
CSI20,1317,2024-01-03,ARC-A1466,ASQALAN CONSTRUCTION AND DEVELOPMENT LLC,,Multicolor,NISHAD T,440.0,0.0,440.0,22.0,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1830493139,party_0026782061
CSI40,1040,2024-01-03,ARC-H0100,HEAVEN GENERAL CONTRACTING L.L.C.,,Branch 2,SHAJAHAN ,70.0,0.0,70.0,3.5,2024-01-03,SHAJAHAN M,CASH,,Branch 2,div_0097926054,man_1937350786,party_1026213623
CSI20,1318,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,SANOOP,115.0,0.0,115.0,5.75,2024-01-03,SAMSHEER,CASH,,MCJ,div_0556003793,man_0264100041,party_0984764295
CSI20,1319,2024-01-03,ARC-C0239,CARLOS PAINTING,,Multicolor,MANZOOR ,450.0,0.0,450.0,22.5,2024-01-03,SAMSHEER,CASH,,MCJ,div_0556003793,man_1167757235,party_1179908599
